speeds,manufacturer,cogs
13,Campag,9-10-11-12-13-14-16-18-20-23-27-31-36
13,Campag,9-10-11-12-13-14-16-18-21-25-30-36-42
13,Campag,10-11-12-13-14-15-17-20-23-27-32-38-44
13,Campag,10-11-12-13-14-16-18-21-25-30-36-42-48
13,Classified,11-12-13-14-15-16-18-20-22-25-28-32-36
13,SRAM,10-11-12-13-15-17-19-21-24-28-32-38-46
12,Campag,10-11-12-13-14-15-16-17-19-21-23-25
12,Campag,10-11-12-13-14-15-17-19-21-23-25-27
12,Campag,10-11-12-13-14-15-17-19-21-23-26-29
12,Campag,11-12-13-14-15-16-17-19-21-23-26-29
12,Campag,11-12-13-14-15-16-17-19-22-25-28-32
12,Campag,11-12-13-14-15-16-17-19-22-25-29-34
12,Classified,11-12-13-14-15-16-18-20-22-24-26-28
12,Classified,11-12-13-14-15-16-18-20-22-24-27-30
12,Classified,11-12-13-14-15-16-18-20-22-25-28-32
12,Classified,11-12-13-14-15-17-19-21-24-27-30-34
12,Classified,11-12-13-14-15-17-19-22-25-29-34-40
12,e*thirteen,9-11-13-15-17-20-23-27-31-36-43-52
12,e*thirteen,13-15-17-19-22-25-28-32-36-40-45-52
12,e*thirteen,9-11-13-15-17-20-23-27-31-36-42-50
12,e*thirteen,9-11-13-15-17-19-22-25-28-32-38-45
12,SRAM,10-11-12-13-14-15-16-17-19-21-23-26
12,SRAM,10-11-12-13-14-15-16-17-19-21-24-28
12,SRAM,10-11-12-13-14-15-17-19-21-24-27-30
12,SRAM,10-11-12-13-14-15-17-19-21-24-28-33
12,"SRAM / Classified",10-11-12-13-15-17-19-21-24-28-32-36
12,SRAM,10-11-13-15-17-19-21-24-28-32-38-44
12,"SRAM / Sunrace",10-12-14-16-18-21-24-28-32-36-42-50
12,SRAM,10-12-14-16-18-21-24-28-32-36-42-52
12,SRAM,11-12-13-15-17-19-21-24-28-32-38-44
12,Shimano,11-12-13-14-15-16-17-19-21-24-27-30
12,Shimano,11-12-13-14-15-17-19-21-24-27-30-34
12,Shimano,11-12-13-14-15-17-19-21-24-28-32-36
12,Shimano,10-12-14-16-18-21-24-28-32-36-40-45
12,Shimano,10-12-14-16-18-21-24-28-33-39-45-51
12,Sunrace,11-13-15-17-19-21-24-28-32-36-42-50
11,3T,9-10-11-12-13-15-17-19-22-26-32
11,3T,9-11-12-13-15-17-19-22-25-28-32
11,"Campag / Shimano",11-12-13-14-15-16-17-18-19-21-23
11,"Campag / SRAM / Shimano",11-12-13-14-15-16-17-19-21-23-25
11,Campag / Classified,11-12-13-14-15-17-19-21-23-25-27
11,Campag,11-12-13-14-15-17-19-21-23-26-29
11,"Campag / SRAM",11-12-13-14-15-17-19-22-25-28-32
11,"Campag / Shimano",12-13-14-15-16-17-18-19-21-23-25
11,Campag,12-13-14-15-16-17-19-21-23-25-27
