ISO,Imperial,Metric,American,Diameter,Width,Rim
47-203,,,"12 x 1.75",297,47,203
47-305,,,"16 x 1.75 x 2",399,47,305
32-340,,400A,,404,32,340
37-340,,400 x 35A,,414,37,340
35-349,,,"16 x 1.35",419,35,349
37-349,"16 x 1 3/8",,"16 x 1.5",423,37,349
28-355,,,"18 x 1 1/8",411,28,355
40-355,,,"18 x 1.5",435,40,355
47-355,,,"18 x 1.75",449,47,355
32-369,"17 x 1 1/4",,,433,32,369
28-406,,,"20 x 1 1/8",462,28,406
35-406,,,"20 x 1.35",476,35,406
37-406,,,"20 x 1.5",480,37,406
47-406,,,"20 x 1.75",500,47,406
54-406,,,"20 x 2.0",514,54,406
28-440,,500 x 28A,,496,28,440
32-440,,500A,,504,32,440
28-451,"20 x 1 1/8",,,507,28,451
35-451,"20 x 1 3/8",,,521,35,451
37-489,,22 x 13/8,,563,37,489
37-501,"22 x 1 3/8",,,575,37,501
37-507,,,"24 x 1.5",581,37,507
47-507,,,"24 x 1.75",601,47,507
28-520,,,"24 x 1 1/8",576,28,520
32-540,"24 x 1 3/8",,,604,32,540
28-541,,600 x 28A,,597,28,541
37-541,,600 x 35A,,615,37,541
25-559,,,"26 x 1.0",609,25,559
28-559,,,"26 x 1.2",615,28,559
32-559,,,"26 x 1.25",623,32,559
35-559,,,"26 x 1.35",629,35,559
40-559,,,"26 x 1.5",639,40,559
47-559,,,"26 x 1.75",653,47,559
50-559,,,"26 x 2.0",659,50,559
57-559,,,"26 x 2.125",673,57,559
20-571,,,"26 x 3/4",611,20,571
23-571,,,"26 x 1",617,23,571
40-571,,650C,,651,40,571
28-584,,650 x 28B,,640,28,584
30-584,,,"27.5 x 1.2",644,30,584
32-584,,650 x 32B,"27.5 x 1.25",648,32,584
37-584,,650 x 37B,"27.5 x 1.35",658,37,584
40-584,"26 x 1 1/2",650B,"27.5 x 1.5",664,40,584
42-584,,,"27.5 x 1.6",668,42,584
50-584,,,"27.5 x 2.0",684,50,584
57-584,,,"27.5 x 2.25",698,57,584
60-584,,,"27.5 x 2.35",704,60,584
65-584,,,"27.5 x 2.6",714,65,584
70-584,,,"27.5 x 2.8",724,70,584
28-590,,650 x 28A,,646,28,590
37-590,"26 x 1 3/8",650 x 37A,"26 x 1 3/8",664,37,590
42-590,,650 x 40A,"26 x 1 5/8",672,42,590
32-597,"26 x 1 1/4",,,661,32,597
18-622,,700 x 18C,,658,18,622
23-622,,700 x 23C,,668,23,622
25-622,,700 x 25C,"28 x 1.0",672,25,622
28-622,"28 x 1/8",700 x 28C,"28 x 1.1",678,28,622
30-622,,700 x 30C,"28 x 1.2",682,30,622
32-622,"28 x 1 1/4",700 x 32C,,686,32,622
37-622,"28 x 1 3/8",700 x 35C,"28 x 1.4",696,37,622
40-622,,700 x 38C,"28 x 1.5",702,40,622
42-622,,700 x 42C,,706,42,622
47-622,,700 x 47C,"28 x 1.75",716,47,622
50-622,,,"29 x 2.0",722,50,622
57-622,,,"29 x 2.25",736,57,622
60-622,,,"29 x 2.35",742,60,622
25-630,"27 x 1",,"27 x 1 1/8",680,25,630
32-630,"27 x 1 1/4",,"27 x 1 3/8",694,32,630
40-635,"28 x 1 1/2",700B,"28 x 1 1/2",715,40,635
