permissionGroup,permission,revoked,menu
"Banner Manager","Active Banners",0,Banners
"Banner Manager","Add Banner",0,Banners
"Banner Manager","Banner Settings",0,Banners
"Banner Manager",Banners,0,Banners
"Banner Manager","Current Banners",0,Banners
"Banner Manager","Edit Banner",0,Banners
"Banner Manager","Past Banners",0,Banners
"Banner Manager","Pending Banners",0,Banners
"Banner Manager","Test Banner",0,Banners
"Bike Shop Maintainer","Add New Membership",0,Membership
"Bike Shop Maintainer","Delete Member",0,Membership
"Bike Shop Maintainer","Edit Member",0,Membership
"Bike Shop Maintainer","Edit Member Permissions",0,Membership
"Bike Shop Maintainer","Edit Membership",0,Membership
"Bike Shop Maintainer","Edit Membership Dates",0,Membership
"Bike Shop Maintainer",Membership,0,Membership
"Bike Shop Maintainer","Show Member",0,Membership
"Board Member","Add Content",0,Content
"Board Member","Add Forum",0,Forums
"Board Member","Add Video",0,Video
"Board Member",Administration,0,Admin
"Board Member","Audit Trail",0,Admin
"Board Member",Board,0,Forums
"Board Member",Calendar,0,Calendar
"Board Member","Club Email Addresses",0,Admin
"Board Member",Content,0,Content
"Board Member","Content By Category",0,Content
"Board Member","Crop My Photo",0,Membership
"Board Member","Delete Content",0,Content
"Board Member","Delete Item From Blog",0,Content
"Board Member","Delete Ride Comments",0,Rides
"Board Member","Delete Video",0,Video
"Board Member","Download Video CSV File",0,Video
"Board Member","Edit Board Member",0,Admin
"Board Member","Edit Board Members",0,Admin
"Board Member","Edit Content",0,Content
"Board Member","Edit Forum",0,Forums
"Board Member","Edit Forum Message",0,Forums
"Board Member","Edit Video",0,Video
"Board Member","Email All Members",0,Membership
"Board Member","Email All Volunteers",0,Volunteer
"Board Member","Email Queue",0,Admin
"Board Member","Email Single Newsletter",0,Membership
"Board Member","Find Invoice",0,Store
"Board Member","Forum Members",0,Forums
"Board Member",Forums,0,Forums
"Board Member","Inventory Report",0,Store
"Board Member","Journal Queue",0,Admin
"Board Member","Manage Files",0,Admin
"Board Member","Manage Forums",0,Forums
"Board Member","Member Photo",0,Membership
"Board Member","Members In Group",0,Admin
"Board Member","Move Blog Item",0,Content
"Board Member","My Permissions",0,Admin
"Board Member","New Members",0,Membership
"Board Member","Northeast Cycling Calendar",0,Calendar
"Board Member","Permission Name",0,Admin
"Board Member",Permissions,0,Admin
"Board Member","Purge Expired Content",0,Content
"Board Member","Recent Content",0,Content
"Board Member","Ride Comments",0,Rides
"Board Member","Ride Schedule Filter",0,Rides
"Board Member","Roster Report",0,Membership
"Board Member","Show All Members",0,Membership
"Board Member","Show Members With Permission",0,Admin
"Board Member","Show Orphan Content",0,Content
"Board Member","Video Types",0,Video
"Board Member","Visible Email Addresses",0,Membership
"Board Member","Volunteer Points Report",0,Leaders
"Calendar Administrator","Add Calendar Event",0,Calendar
"Calendar Administrator","Approve Calendar Entries",0,Calendar
"Calendar Administrator",Calendar,0,Calendar
"Calendar Administrator","Calendar Configuration",0,Calendar
"Calendar Administrator","Calendar Coordinator",0,Calendar
"Calendar Administrator","Calendar Notes",0,Calendar
"Calendar Administrator","Edit Accept Calendar Email",0,Calendar
"Calendar Administrator","Edit Calendar Event",0,Calendar
"Calendar Administrator","Edit Reject Calendar Email",0,Calendar
"Calendar Administrator","Edit Thank You Calendar Email",0,Calendar
"Calendar Administrator","Northeast Cycling Calendar",0,Calendar
"Calendar Administrator","Pending Calendar Events",0,Calendar
"Calendar Administrator","Pending Cycling Calendar Events",0,Calendar
"Calendar Administrator","Pending Events",0,Calendar
"Calendar Administrator","Reject Calender Event",0,Calendar
"Calendar Administrator","Rejected Calendar Events",0,Calendar
"Content Editor","Add Content",0,Content
"Content Editor",Content,0,Content
"Content Editor","Content By Category",0,Content
"Content Editor","Delete Content",0,Content
"Content Editor","Delete Content Category",0,Content
"Content Editor","Delete Item From Blog",0,Content
"Content Editor","Edit Content",0,Content
"Content Editor","Move Blog Item",0,Content
"Content Editor","Purge Expired Content",0,Content
"Content Editor","Recent Content",0,Content
"Content Editor","Show Orphan Content",0,Content
"Cue Sheet Administrator","Add A New Cue Sheet",0,CueSheets
"Cue Sheet Administrator","Approve Cue Sheets",0,CueSheets
"Cue Sheet Administrator","Change Cue Sheet Author",0,CueSheets
"Cue Sheet Administrator","Club RWGPS Library",0,CueSheets
"Cue Sheet Administrator","Cue Sheet Configuration",0,CueSheets
"Cue Sheet Administrator","Cue Sheet Coordinator",0,CueSheets
"Cue Sheet Administrator","Cue Sheet Notes",0,CueSheets
"Cue Sheet Administrator","Cue Sheet Statistics",0,CueSheets
"Cue Sheet Administrator","Cue Sheet Templates",0,CueSheets
"Cue Sheet Administrator","Cue Sheets",0,CueSheets
"Cue Sheet Administrator",CueSheets,0,CueSheets
"Cue Sheet Administrator","Delete Cue Sheet",0,CueSheets
"Cue Sheet Administrator","Delete Cue Sheet Version",0,CueSheets
"Cue Sheet Administrator","Edit Accept Cue Sheet Email",0,CueSheets
"Cue Sheet Administrator","Edit Cue Sheet",0,CueSheets
"Cue Sheet Administrator","Edit Cue Sheet Version",0,CueSheets
"Cue Sheet Administrator","Edit Reject Cue Sheet Email",0,CueSheets
"Cue Sheet Administrator","Find A Cue Sheet",0,CueSheets
"Cue Sheet Administrator","Merge Cue Sheets",0,CueSheets
"Cue Sheet Administrator","Merge Start Locations",0,CueSheets
"Cue Sheet Administrator","My Cue Sheets",0,CueSheets
"Cue Sheet Administrator","Recent Cue Sheets",0,CueSheets
"Cue Sheet Administrator","Reject Cue Sheet",0,CueSheets
"Cue Sheet Administrator","RideWithGPS Settings",0,CueSheets
"Cue Sheet Administrator","Search Cue Sheets",0,CueSheets
"Cue Sheet Administrator","View Cue Sheet",0,CueSheets
"Event Coordinator","Add Event",0,Events
"Event Coordinator","Add Payment",0,Membership
